"Year","Duration","Rating","Review","Budget","Collection","Drama","Crime","Action","Biography","History","Adventure","Western","Romance","Sci-Fi","Fantasy","Mystery","Family","Thriller","War","Comedy","Animation","Music","Horror","Film-Noir","Musical","Sport","Net_income","Profitable","Duration_z-score","Rating_z-score","Review_z-score","Budget_z-score","Collection_z-score","Net_income_z-score"
1999,122,8.3,1200000,15000000,356296601,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",341296601,"1",-0.270778960485846,-0.0489621661689943,0.906889386255753,-0.310066683607666,1.16226712415454,1.35420699488787
2003,120,8.3,634000,3000000,17542965,"1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",14542965,"1",-0.337637963074943,-0.0489621661689943,-0.107881232651773,-0.731201962465573,-0.74915805307415,-0.705632068289484
2017,105,8.4,588000,40000000,134686457,"1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",94686457,"1",-0.839080482493176,0.373125473218901,-0.190353756449911,0.567298480679641,-0.0881732069741151,-0.200411384284481
1984,160,8.4,427000,18000000,52068956,"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0",34068956,"1",0.999542088707011,0.373125473218901,-0.479007589743395,-0.204782863893189,-0.554344355292405,-0.582541168670392
1995,81,8.3,1100000,30000000,394436586,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0",364436586,"1",-1.64138851356235,-0.0489621661689943,0.727601291042409,0.216352414964718,1.37747286614729,1.50008033728685
1981,149,8.4,264000,57600,20929648,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",20872048,"1",0.631817574466974,0.373125473218901,-0.771247184941146,-0.834464332841532,-0.730048616405277,-0.665733836223624
1995,178,8.3,1100000,72000000,213216216,"1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0",141216216,"1",1.60127311200889,-0.0489621661689943,0.727601291042409,1.69032589096739,0.354932763154279,0.0929099582465874
2019,181,8.4,1300000,55000000,321458605,"1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",266458605,"1",1.70156161589254,0.373125473218901,1.0861774814691,1.09371757925202,0.965692930988998,0.882431900177951
2019,122,8.4,1500000,55000000,134686457,"1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",79686457,"1",-0.270778960485846,0.373125473218901,1.44475367189578,1.09371757925202,-0.0881732069741151,-0.294970656297174
1997,134,8.3,433000,15360000,170203834,"0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",154843834,"1",0.130375055048741,-0.0489621661689943,-0.468250304030594,-0.297432625241929,0.112234409099187,0.178817800736392
1997,126,8.3,1100000,10000000,225933435,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",215933435,"1",-0.13706095530765,-0.0489621661689943,0.727601291042409,-0.485539716465127,0.42668996366129,0.563923680610115
2016,106,8.4,319000,2368000,382238191,"1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0",379870191,"1",-0.805650981198627,0.373125473218901,-0.672638732573806,-0.753381753818756,1.30864314198522,1.59737303417561
1984,229,8.3,377000,30000000,5475086,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",-24524914,"0",3.30617767803088,-0.0489621661689943,-0.568651637350067,0.216352414964718,-0.817251337706375,-0.951914081444148
1963,143,8.4,53000,3000000,46808,"1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",-2953192,"0",0.431240566699681,0.373125473218901,-1.1495450658413,-0.731201962465573,-0.847880521087883,-0.815926992885469
2009,170,8.4,433000,6600000,60262836,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",53662836,"1",1.3338371016525,0.373125473218901,-0.468250304030594,-0.604861378808201,-0.50811019905979,-0.459022300090121
1952,103,8.3,260000,2540800,2010042,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","1","0",-530758,"0",-0.905939485082274,-0.0489621661689943,-0.778418708749679,-0.747317405803202,-0.83680292811884,-0.800656086516216
2018,126,8.4,105000,4000000,64417003,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",60417003,"1",-0.13706095530765,0.373125473218901,-1.05631525633036,-0.696107355894081,-0.484670216280645,-0.416444359118645
2000,102,8.3,897000,4500000,7390108,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2890108,"0",-0.939368986376823,-0.0489621661689943,0.363646457759321,-0.678560052608335,-0.806445782055463,-0.779091113275351
1985,142,8.4,97000,5000000,20929648,"1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",15929648,"1",0.397811065405132,0.373125473218901,-1.07065830394743,-0.661012749322589,-0.730048616405277,-0.696890485956659
2023,180,8.3,712000,100000000,384580017,"1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",284580017,"1",1.66813211459799,-0.0489621661689943,0.0319634816146349,2.67297487496918,1.32185694901603,0.996668401948755
2010,103,8.3,891000,30000000,180908413,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0",150908413,"1",-0.905939485082274,-0.0489621661689943,0.35288917204652,0.216352414964718,0.17263524214658,0.154009097748161
1983,131,8.3,1100000,32500000,475106177,"0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",442606177,"1",0.0300865511650942,-0.0489621661689943,0.727601291042409,0.304088931393449,1.83265288751876,1.99285764518617
2004,108,8.3,1100000,20000000,73390334,"1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0",53390334,"1",-0.73879197860953,-0.0489621661689943,0.727601291042409,-0.134593650750205,-0.434037989865202,-0.460740139472922
2012,115,8.3,363000,2800000,15886373,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",13086373,"1",-0.504785469547688,-0.0489621661689943,-0.593751970679935,-0.738220883779872,-0.758505411510165,-0.714814353565452
